time.time,hryvna.today,www.exchangerates.org.uk
1599940060,,27.911
1600026460,,27.911
1600112860,,27.917
1600199260,,27.992
1600285660,,28.112
1600372060,,28.081
1600458460,,28.159
1600544860,,28.165
1600631260,,28.165
1600717660,,28.158
1600804060,,28.236
1600890460,,28.206
1600976860,,28.179
1601063260,,28.251
1601149660,,28.281
1601236060,,28.281
1601322460,,28.277
1601408860,,28.281
1601495260,,28.283
1601581660,,28.307
1601668060,,28.321
1601754460,,28.355
1601840860,,28.358
1601927260,,28.341
1602013660,,28.401
1602100060,,28.373
1602186460,,28.333
1602272860,,28.276
1602359260,,28.212
1602445660,,28.265
1602532060,,28.215
1602618460,,28.281
1602704860,,28.324
1602791260,,28.34
1602877660,,28.352
1602964060,,28.36
1603050460,,28.36
1603136860,,28.361
1603223260,,28.364
1603309660,,28.373
1603396060,,28.262
1603482460,,28.275
1603568860,,28.302
1603655260,,28.302
1603741660,,28.294
1603828060,,28.336
1603914460,,28.357
1604000860,,28.416
1604087260,,28.449
1604173660,,28.46
1604260060,,28.46
1604346460,,28.464
1604432860,,28.595
1604519260,,28.547
1604605660,,28.417
1604692060,,28.419
1604778460,,28.102
1604864860,,28.241
1604951260,,28.1
1605037660,,28.119
1605124060,,28.123
1605210460,,28.177
1605296860,,28.211
1605383260,,28.133
1605469660,,28.133
1605556060,,28.119
1605642460,,28.067
1605728860,,28.137
1605815260,,28.163
1605901660,,28.217
1605988060,,28.365
1606074460,,28.364
1606160860,,28.36
1606247260,,28.395
1606333660,,28.368
1606420060,,28.401
1606506460,,28.444
1606592860,,28.506
1606679260,,28.506
1606765660,,28.507
1606852060,,28.501
1606938460,,28.582
1607024860,,28.433
1607111260,,28.334
1607197660,,28.292
1607284060,,28.291
1607370460,,28.289
1607456860,,28.189
1607543260,,28.065
1607629660,,28.087
1607716060,,28.091
1607802460,,27.948
1607888860,,27.947
1607975260,,27.972
1608061660,,27.856
1608148060,,27.754
1608234460,,27.815
1608320860,,27.863
1608407260,,27.902
1608493660,,27.9
1608580060,,27.909
1608666460,,28.12
1608752860,,28.368
1608839260,,28.45
1608925660,,28.378
1609012060,,28.385
1609098460,,28.385
1609184860,,28.386
1609271260,,28.361
1609357660,,28.191
1609444060,,28.337
1609530460,,28.329
1609616860,,28.476
1609703260,,28.475
1609789660,,28.472
1609876060,,28.424
1609962460,,28.333
1610048860,,28.252
1610135260,,28.28
1610221660,,28.272
1610308060,,28.333
1610394460,,28.35
1610480860,,28.165
1610567260,,28.026
1610653660,,27.96
1610740060,,28.078
1610826460,,28.081
1610912860,,28.176
1610999260,,28.19
1611085660,,28.219
1611172060,,28.131
1611258460,,28.254
1611344860,,28.287
1611431260,,28.18
1611517660,,28.18
1611604060,,28.181
1611690460,,28.151
1611776860,,28.135
1611863260,,28.183
1611949660,,28.171
1612036060,,28.087
1612122460,,28.092
1612208860,,28.1
1612295260,,28.051
1612381660,,28.041
1612468060,,27.992
1612554460,,27.935
1612640860,,27.875
1612727260,,27.875
1612813660,,27.762
1612900060,,27.643
1612986460,,27.711
1613072860,,27.784
1613159260,,27.807
1613245660,,27.87
1613332060,,27.87
1613418460,,27.873
1613504860,,27.866
1613591260,,27.863
1613677660,,27.878
1613764060,,27.848
1613850460,,27.852
1613936860,,27.896
1614023260,,27.887
1614109660,,27.907
1614196060,,27.929
1614282460,,27.946
1614368860,,27.891
1614455260,,27.948
1614541660,,27.948
1614628060,,27.957
1614714460,,28.014
1614800860,,27.93
1614887260,,27.83
1614973660,,27.717
1615060060,,27.75
1615146460,,27.75
1615232860,,27.747
1615319260,,27.785
1615405660,,27.707
1615405660,27.77,27.707
1615413624,27.74,27.707
1615442402,27.77,27.746
1615489830,27.79,27.746
1615500621,27.75,27.746
1615511415,27.75,27.762
1615533189,27.75,27.762
1615533011,27.79,27.762
1615543811,27.78,27.762
1615554602,27.78,27.762
1615565403,27.78,27.762
